LOADING_INTRO|LOADING, PLEASE WAIT...
LABEL_BLOCK_MENU|THESE PLAYERS CAN'T PLAY WITH YOU ANYMORE
OVERSIZE_BLOCK|<size=26>Sorry, there are no more available slots in the blocked players list.\n\nDo you want to buy more slots?</size>
OVERSIZE_PREF|<size=26>Sorry, there are no more available slots in the favorite players list.\n\nDo you want to buy more slots?</size>
LABEL_PREF_MENU|PLAYERS YOU CAN FILTER IN THE LIST OF OPEN TABLES
TITLE_BANNER_PREF|Choose other players
MSG_BANNER_PREF|Increase the number of players\nin the favorite players list
CONFIRM_REMOVE_PREF|<size=26>Are you sure you want to remove <color=#e57900ff>[%user]</color> from the favorite players list?</size>
FEEDBACK_ADD_PREF|<size=26><color=#e57900ff>[%user]</color> has been inserted among the favorite players.\nIf he opens a table wuou will find him easily</size>
FILTER_TABLES|FILTER TABLES
FILTER_ALL_TABLES|ALL TABLES
FILTER_PREFS_TABLES|PLAYERS FAVORITE
TITLE_WRITE_US|SEND TIPS, QUESTIONS AND SUGGESTIONS
PLACEHOLDER_MAIL_WRITE_US|YOUR EMAIL
PLACEHOLDER_MESSAGE_WRITE_US|MESSAGE
DATA_RECOVERY|DATA RECOVERY
TITLE_DATA_RECOVERY|ENTER EMAIL USED FOR THE REGISTRATION
BUTTON_DATA_RECOVERY|RECOVER DATA
LABEL_CODEX_RECOVERY_DATA|IF YOU HAVE ALREADY RECEIVED THE RECOVERY CODE\nCLICK HERE
BUTTON_CODEX_RECOVERY_DATA|INSERT CODE
TITLE_INSERT_CODE|ENTER THE CODE RECEIVED VIA MAIL AND\nCHOOSE A NEW PASSWORD
PLACEHOLDER_CODE|DATA RECOVERY CODE
PLACEHOLDER_PSW|NEW PASSWORD
PLACEHOLDER_CONFIRM_NEW|CONFIRM NEW PASSWORD
MAIL_ERROR_FEEDBACK|<size=26>Sorry, the mail <color=#e57900ff>[%mail]</color> is not registered.</size>
MAIL_SUCCESS_FEEDBACK|<size=23>Mail sent to the address <color=#e57900ff>[%mail]</color>. Recover the code in the mail and enter it in the data recovery page. Check that the mail is no finished in spam folder.</size>
ERROR_FB_ACCOUNT|<size=22>The account for which you have requested password recovery is linked to your Facebook account.\nTo do login, simply press the Connect with Facebook button on the home screen.</size>
ERROR_PASSWORD|<size=26>The two password do not match. Check it and fill up again.</size>
ERROR_TOKEN|<size=26>The code is not correct. Check the code in the email and try again.</size>
SUCCESS_TOKEN|<size=26>Password updated successfully.</size>
TITLE_OTHER_GAMES|<size=25>OTHERS FANTASTIC GAMES</size>
OTHER_GAMES_SCOPA|THE ONLY\nSCOPA GAME\nWITH THE\nORIGINAL CARDS
OTHER_GAMES_ASSO|THE ONLY\nASSO PIGLIA TUTTO\nGAME WITH THE\nORIGINAL CARDS
OTHER_GAMES_BRISCOLA|THE ONLY\nBRISCOLA GAME\nWITH THE\nORIGINAL CARDS
DOWNLOAD_FREE|FREE DOWNLOAD
WIN_MULTI_SHARE|YOU WIN [%pointsPlayer] TO [%pointsFoe] AGAINST\n<color=#e57900ff>[%foe]</color>\n\nYOU GAIN [%score] POINTS,\n[%pointsExp] EXPERIENCE POINTS AND [%coins] COINS.\n\nSHARE AND GET\n[%coinsShare] COIN MORE!
WIN_SINGLE_SHARE|YOU WIN [%pointsPlayer] TO [%pointsFoe] AGAINST\n<color=#ffee61>[%foe]</color> LEVEL\n\nYOU GAIN [%score] POINTS,\n[%pointsExp] EXPERIENCE POINTS AND [%coins] COINS.\n\nSHARE AND GET\n[%coinsShare] COIN MORE!
WIN_MULTI_UPPER|YOU WIN\n[%pointsPlayer] TO [%pointsFoe] AGAINST\n[%foe]
WIN_SINGLE_UPPER|YOU WIN\n[%pointsPlayer] TO [%pointsFoe]
WIN_SINGLE_PREMIUM_UPPER|YOU WIN\n[%pointsPlayer] TO [%pointsFoe] AGAINST\n[%tableName]
WIN_POPUP_ENDGAME_BOTTOM_TEXT|<size=26>YOU GAIN</size>\n<color=#f1d245>[%coins] COINS</color>\n<size=26>[%pointsExp] EXPERIENCE POINTS\n[%score] LEADERBOARD POINTS</size>
LOST_MULTI|YOU LOST\n[%pointsPlayer] TO [%pointsFoe] AGAINST\n<color=#ffee61>[%foe]</color>\n\nYOU GAIN\n[%coins] COINS\nTO HAVE COMPLETED THE MATCH.
LOST_SINGLE|YOU LOST\n[%pointsPlayer] TO [%pointsFoe].
LOST_SINGLE_PREMIUM|YOU LOST\n[%pointsPlayer] TO [%pointsFoe] AGAINST\n<color=#ffee61>[%tableName]</color>.
DRAW_MULTI|YOU TIED\n[%pointsPlayer] TO [%pointsFoe] AGAINST\n<color=#ffee61>[%foe]</color>\n\nYOU GAIN\n[%coins] COINS\nTO HAVE COMPLETED THE MATCH
DRAW_SINGLE|YOU TIED\n[%pointsPlayer] TO [%pointsFoe]
DRAW_SINGLE_PREMIUM|YOU SCORED A DRAW WITH\n<color=#ffee61>[%tableName]</color>\n\n[%tableName] GIVES YOU BACK THE ENTRY FEE
LEVEL_UP|YOU HAVE REACHED\n<size=26><color=#00c400>LEVEL [%level]</color></size>\nKEEP ON PLAYING AND\nDISCOVER ALL THE PRIZES\nWAITING FOR YOU!
PLAY_AGAIN_MULTI|WANT TO PLAY AGAINST\n<color=#ffee61>[%foe]</color> AGAIN?
HEADER_WIN|WELL DONE!
HEADER_LOST|OOOPS...
HEADER_DRAW|OOOPS...
WIN_SINGLE_NO_LOGGED|YOU WIN [%pointsPlayer] TO [%pointsFoe] AGAINST\n<color=#e57900ff>[%foe]</color> LEVEL
TITLE_SHARE|The original DAL NEGRO BRISCOLA game
MSG_SHARE_MULTI|I won against [%foe] for [%pointsPlayer] to [%pointsFoe]!
MSG_SHARE_SINGLE|I won against level [%foe] for [%pointsPlayer] to [%pointsFoe]!
CAPTION_SHARE|Try it FOR FREE!
JANUARY|JANUARY
FEBRUARY|FEBRUARY
MARCH|MARCH
APRIL|APRIL
MAY|MAY
JUNE|JUNE
JULY|JULY
AUGUST|AUGUST
SEPTEMBER|SEPTEMBER
OCTOBER|OCTOBER
NOVEMBER|NOVEMBER
DECEMBER|DECEMBER
SD_TITLE_AVATAR_CINEMA|MOVIE STARS
SD_TITLE_AVATAR_HEROES|SUPERHEROES
SD_TITLE_AVATAR_FOOTBALL|SOCCER CHAMPIONS
SD_MSG_AVATAR_CINEMA|CHOOSE YOUR STAR PROFILE!
SD_MSG_AVATAR_HEROES|PLAY AS YOUR FAVORITE CHARACTER!
SD_MSG_AVATAR_FOOTBALL|WEAR YOU FAVORITE SHIRT!
BEGINNER|BEGINNER
INTERMEDIATE|INTERMEDIATE
EXPERT|EXPERT
MONTH|MONTH
EXPERIENCE|EXPERIENCE
TITLE_OPPONENTS_VIEW|SEE YOUR\nCHALLENGER'S FACE
MSG_OPPONENTS_VIEW|SEE THE OPPONENTS'\nFACE THAT INVITES\nYOU TO PLAY!
PRICE_OPPONENTS_VIEW|[%price]
SD_TITLE_OPPONENTS_VIEW|SEE YOUR CHALLENGER
SD_MSG_OPPONENTS_VIEW|SEE THE OPPONENTS' FACE THAT INVITES YOU TO PLAY AND CHOOSE WHO TO START THE GAME WITH!
MONTHLY|MONTHLY
HELP_POINTS_TITLE|POINTS AND LEADERBOARDS
HELP_POINTS_SUBTITLE|POINTS, LEADERBOARDS AND LEVELS
HELP_COINS_TITLE|COINS
HELP_COINS_SUBTITLE|EARN, BUY AND SPEND COINS
HELP_PLAYERS_TITLE|OPPONENTS
HELP_PLAYERS_SUBTITLE|FAVORITE PLAYERS AND BLOCKED PLAYERS
HELP_FAQ_TITLE|FAQ
HELP_FAQ_SUBTITLE|FREQUENTLY ASKED QUESTIONS
HELP_RULES_TITLE|RULES OF BRISCOLA
HELP_RULES_SUBTITLE|LEARN THE RULES OF THE GAME
HELP_INFO_TITLE|INFO
HELP_INFO_SUBTITLE|ABOUT THE GAME
RULES|RULES
OPPONENTS|OPPONENTS
POINTS|POINTS
COINS|COINS
TERMS_CONDITIONS|Terms of service
PRIVACY|Privacy policy
COMING_SOON_CHAMPIONS|<size=22>THE NEXT MONTH WILL BE AVAILABLE THE FIRST LIST OF CHAMPIONS</size>
LEVELS|LEVELS
POINTS_EXPERIENCE|EXPERIENCE POINTS: [%points]
YOUR_POINTS_EXPERIENCE|YOUR EXPERIENCE POINTS
FAQ|FAQ
GAMEPLAY|GAMEPLAY
SIGN_UP|SIGN-UP
POINTS_ETC|POINTS, LEADERBOARDS, LEVELS
LINK_ACCOUNT_FACEBOOK|CONNECT TO\nFACEBOOK
UNLINK_ACCOUNT_FACEBOOK|DELETE\nFACEBOOK CONNECTION
CHAMPIONS_OF|[%month] CHAMPIONS
Search_opponent|<size=26>Search opponent...</size>
Opponent_not_found|<size=26>Opponent not found.</size>
ACCOUNT_FACEBOOK_ALREADY_USE|<size=26>The facebook account you want to link to your game account is already linked to another game account.\n\nDo you want to recover your previous game account linked to Facebook?</size>
EXPIRED_WEEKLY|<size=26>The gift week to see the face of your challenger is finished.\nDo you want to continue to see it?</size>
TITLE_POP_UP_RESET_LEADERBOARDS|<size=18>THE LEADERBOARDS HAS BEEN RESET.\nTHE NEW MONTH'S CHALLENGE HAS STARTED!</size>
MESSAGE_TABLE_ALREADY_SELECTED|<size=26>You already have this background</size>
DOWNLOAD_COMPLETED|<size=26>Download complete</size>
SENT_EMAIL|<size=26>Email sent</size>
ERROR_SENT_EMAIL|<size=26>Error sending email</size>
ERROR_NETWORK_LEADERBOARDS|<size=26>Sorry, no network. It's  not possible to show the leaderboards</size>
USER_BANNED|<size=26>This account ha been disabled</size>
MSG_RESTORE_PURCHSE|<size=26>Purchases successfully restored</size>
INVITE_FRIENDS|INVITE FRIENDS
COMING_SOON_COINS|COMING SOON!
TITLE_INVITE_FRIENDS|Briscola Dal Negro
MESSAGE_INVITE_FRIENDS|Try the original Italian Briscola!
THE_END|CLOSE
CONTINUE|CONTINUE
MESAGE_POP_UP_INFO_TABLE_PREMIUM|<size=20>REMOVE ALL THE ADVERTISING WITH\nONLY [%price] COINS FOR ANY MATCH.\n\nTO ACTIVATE TURN ON THE SWITCH.</size>
TEXT_TABLE_PREMIUM|REMOVE\n<size=16><color=#FFFFFF>ADS</color></size>
MSG_POP_UP_NO_COINS_TABLE_PREMIUM|<size=20>SORRY YOU DON'T HAVE ENOUGH COINS TO REMOVE ADVERTISING.\n\nBUY COINS OR CONTINUE TO PLAY WITH ADVERTISING.\n\nDO YOU WANT TO BUY COINS?</size>
MSG_POP_UP_NO_VALIDATE_TABLE_PREMIUM|<size=20>SORRY YOU DON'T HAVE ENOUGH COINS TO REMOVE ADVERTISING.\n\nCONTINUE TO PLAY WITH ADVERTISING..</size>
ConnectionMultiplayer|Connection to multiplayer...
LOGIN_REWARD_COMPLETE|<size=26>Thank you for singup!\n\nYou have received [%coins] gift coins.</size>
LATER|LATER
PLACEHOLDER_RATE_US|Let us know your opinion
NO_CONNECTION_PROFILE|<size=26>Network error.\nYour user profile data may not be up to date.</size>
MESSAGE_CONFIRM_RATE_US_ANDROID|Thank you!\nGo to the Play Store\nand confirm your vote.
MESSAGE_CONFIRM_RATE_US_IOS|Thank you!\nGo to the App Store\nand confirm your vote.
RATE|RATE
MESSAGE_NO_CHAT|TO ENABLE THE CHAT IT IS NECESSARY TO COMPLETE [%tot] MATCHES.\nAT THE MOMENT YOU HAVE COMPLETED [%game]
MESSAGE_NO_CHAT_1|<size=20>TO ENABLE THE CHAT IT IS NECESSARY TO COMPLETE AT LEAST [%tot]% OF THE MATCHES STARTED IN MULTIPLAYER.\n\nAT THE MOMENT YOUR PERCENTAGE OF COMPLETE MATCHES IS [%game]%</size>
MESSAGE_BAN_DEVICE|<size=26>As a result of previous violations of the game rules, it is impossible to create an account.</size>
AUTOPROMO_SCOPA_TITLE|PLAY WITH\nTHE ORIGINAL\n<color=#007a34>SCOPA</color>
AUTOPROMO_SCOPA_SUBTITLE|DOWNLOAD\nTHE ORIGINAL SCOPA\nFOR FREE
AUTOPROMO_REMOVE_ADS_TITLE|PLAY WITHOUT\nADS
AUTOPROMO_REMOVE_ADS_SUBTITLE|DO YOU WANT TO PLAY\nWITHOUT INTERRUPTIONS?\nREMOVE ADS!
RECOVERY_ACCOUNT|RECOVERY ACCOUNT
CONFIRM_ADD_FACEBOOK|If you connect your account to Facebook, you will be able to have the game progress on all your connected devices.\n\nDo you want to proceed?
CONFIRM_REMOVE_FACEBOOK|If you delete the Facebook link from your game account, you will not be able to retrieve your progress on all your linked devices.\n\nDo you want to proceed?
WELCOME|WELCOME!
TEXT_GDPR|CONFIRM THAT YOU HAVE VIEWED\nAND ACCEPT OUR NEW\nTERMS OF SERVICE AND\nPRIVACY POLICY
ACCEPT|ACCEPT
PURCHASE_SUCCESS_AVATAR_SCENE_MENU|<size=26>To use the new avatar, you need to change your profile picture.\n\nDo you want to change it now?</size>
PURCHASE_SUCCESS_AVATAR_SCENE_TABLE|<size=26>Remember that to use the new avatar you need to change your profile picture.</size>
TITLE_REMOVE_ADS_DETAILS|REMOVE THE ADVERTISING
SUBTITLE_REMOVE_ADS_DETAILS|PLAY WITHOUT ANY INTERRUPTION 
TEXT_REMOVE_ADS_WEEK|1 WEEK\n<size=15>USE YOUR COINS!</size>
TEXT_REMOVE_ADS_MONTH|1 MONTH\n<size=15>SUBSCRIPTION</size>
TEXT_REMOVE_ADS_YEAR|THE MOST POPULAR\n<size=22><color=#FFC600>1 YEAR</color></size>
TEXT_REMOVE_ADS_PERMANENT|FOREVER!
ALERT_REMOVE_ADS_GENERIC|<size=26>You already have an option of ads removal.</size>
ALERT_REMOVE_ADS_TEMP_COINS|<size=26>You have already activated the ads removal for one week.</size>
ALERT_REMOVE_ADS_SUBS|<size=26>You have already activated the ads removal for one month.</size>
ALERT_REMOVE_ADS_TEMP|<size=26>You have already activated the ads removal for one year.</size>
ALERT_REMOVE_ADS_PERM|<size=26>You have already activated the ads removal forever.</size>
SUCCESS_REMOVE_ADS_TEMP_COINS|<size=26>Purchase successful.\n\nEnjoy the game without ads for one week.</size>
SUCCESS_REMOVE_ADS_TEMP|<size=26>Purchase successful.\n\nEnjoy the game without ads for one year.</size>
SUCCESS_REMOVE_ADS_SUBS|<size=26>Purchase successful.\n\nEnjoy the game without ads for one month.</size>
SUCCESS_REMOVE_ADS_PERM|<size=26>Purchase successful.\n\nEnjoy the game without ads forever.</size>
ERROR_RESTORE_PURCHASE|<size=26>Sorry your purchases could not be restored.\nPlease check your internet connection.</size>
RESTORE_PURCHASE_SUCCESS|<size=26>Purchases have been successfully restored.\nEnjoy.</size>
INSTALL|INSTALL
AUTOPROMO_SOLITARIO_TITLE|PLAY WITH\nTHE CLASSIC\n<color=#ff0000>SOLITAIRE</color>
NO_ADS|NO ADS
WIN|WIN
ENTER|ENTER
FREE_ENTER|<color=#FBC438>FREE</color> ENTER
CHALLENGE|CHALLENGE
