LOADING_INTRO|CARGANDO, POR FAVOR ESPERE...
MESSAGE_CONFIRM_CHANGE_USERNAME|<size=26>El cambio de apodo tiene un coste de [%price] monedas.\n\n¿Quieres proceder?</size>
BUTTON_SAVE_USERNAME|SALVAR\nAPODO
disclaimer|Al hacer clic en el botón Registrate \nreconoce que ha leído y acepta los \n<color=#FFFFFFFF>Términos y Condiciones</color> y <color=#FFFFFFFF>Política de Privacidad</color>
CARDS_DECK|ELIGE LAS CARTAS
BANNER_CARDS|ELIJA SUS CARTAS<size=35>\nORIGINALES</size>
Download|Descarga en curso:
CANCEL|CANCELAR
TITLE_BANNER_BACKGROUND|MESA PREMIUM
MSG_BANNER_BACKGROUND|PERSONALIZAR LA MESA \nCON MUCHOS BACKGROUNDS
PURCHASE|COMPRAR
Verde|VERDE
Rosso|ROJO
Blu|AZUL
Viola|MORADO
Beige|BEIGE
Tovaglia|MANTEL
Rovere|ROBLE
Teak|TEAK
BACKGROUNDS|ELIGE UNA MESA
YOUR_COINS|SUS MONEDAS
PURCHASE_COINS|COMPRAR MONEDAS
TITLE_REMOVE_ADS|ELIMINAR\nPUBLICIDAD
MSG_REMOVE_ADS|ELIMINAR TODA LA\nPUBLICIDAD Y JUGAR SIN\nNINGUN TIPO DE INTERRUPCION
RESTORE_PURCHASE|RESTAURAR COMPRAS
price_ads|solo [%price] por mes
MORE_DETAILS|DESCUBRIR
TITLE_AVATARS_PREMIUM|SUPER\nAVATAR
MSG_AVATARS_PREMIUM|ELIGE ENTRE LOS MUCHOS GRANDES AVATAR PARA TENER UN PERFIL EXCLUSIVO
PRICE_AVATARS_PREMIUM|[%price]
TITLE_BACKGROUND_PREMIUM|FONDOS\nEXCLUSIVOS
MSG_BACKGROUND_PREMIUM|PERSONALIZAR EL FONDO\nDE TU MESA COU UN\nCONJUNTO UNICO DE IMAGENES
PRICE_BACKGROUND_PREMIUM|[%price]
TITLE_BLOCK_PLAYERS|BLOQUES\nJUGADORES
MSG_BLOCK_PLAYERS|AUMENTA EL NUMERO DE JUGADORES QUE PUEDE BLOQUEAR Y DECIDE QUE PARA JUGAR CONTRA
PRICE_BLOCK_PLAYERS|de [%price]
TITLE_PREF_PLAYERS|OPONENTES\nFAVORITOS
MSG_PREF_PLAYERS|AUMENTA EL NÚMERO DE JUGADORES QUE QUIERES ENCONTRAR FÁCIL PARA JUGAR OTRA VEZ
PRICE_PREF_PLAYERS|de [%price]
DETAILS_MENU|DETALLE PRODUCTO
TROPHY|LOGROS
SCORES|PUNTAJES
LEVEL|NIVEL
PURCHASE_SUCCESS|<size=26>Felicidades,\ncompra con éxito!</size>
JUST_PURCHASE|<size=26>El objeto ya compró</size>
NOT_ENOUGH_COINS|<size=26>En este momento usted no tiene suficiente monedas para hacer la compra.\n\n¿Quieres comprar monedas?</size>
PURCHASE_FAIL|<size=26>Lo sentimos, no compra.\nPor favor, inténtelo de nuevo más tarde</size>
SD_PRICE_AVATAR_FEMALE|[%price]
SD_PRICE_AVATAR_MALE|[%price]
SD_TITLE_AVATAR_FEMALE|AVATAR SUPER PARA ELLA
SD_TITLE_AVATAR_MALE|AVATAR SUPER PARA EL
SD_MSG_AVATAR_FEMALE|Comprar el paquete de cuatro avatar fantástico para dar a su perfil el toque justo de exclusividad con la que se destacan
SD_MSG_AVATAR_MALE|Comprar el paquete avatar cuatro fantásticos que se puede utilizar en cualquier momento para personalizar su perfil
SD_PRICE_BACKGROUNDS|[%price]
SD_TITLE_BACKGROUNDS|Sus fondos exclusivos
SD_MSG_BACKGROUNDS|Decorar el fondo de la mesa con una fantástica serie de imágenes que hará que sus juegos aún más emocionante
SD_TITLE_BLOCK_PLAYERS|Bloqueas jugadores
SD_MESSAGE_BLOCK_PLAYERS|Aumenta el número de jugadores que se puede\nintroducir en la lista de jugadores bloqueados
SD_MESSAGE_COLOR_BLOCK_PLAYERS|Estos jugadores no pueden jugar contigo!
SD_LABEL_CHOICE_BLOCK_PLAYERS|Elija el paquete que prefiera
SD_TEXT_BLOCK_PLAYERS|<size=14>Bloqueas[%num]\notros jugadores</size>
SD_PRICE_BLOCK_PLAYERS|[%price]
SD_BLOCK_PLAYERS_DISCOUNT|[%num]% descuento
SD_POST_IT_BLOCK_PLAYERS|El más\ncomprado
SD_TITLE_PREF_PLAYERS|Jugadores favoritos
SD_MESSAGE_PREF_PLAYERS|AUMENTA EL NUMERO DE JUGADORES QUE PUEDE\nPONER EN LA LISTA DE JUGADORES FAVORITOS.
SD_MESSAGE_COLOR_PREF_PLAYERS|Será más fácil\nde encontrar en la lista de mesas abiertas!
SD_LABEL_CHOICE_PREF_PLAYERS|Elija el paquete que prefiera
SD_TEXT_PREF_PLAYERS|AÑADE otros\n[%num] jugadores
SD_PRICE_PREF_PLAYERS|[%price]
SD_PREF_PLAYERS_DISCOUNT|[%num]% descuento!
TITLE_COINS_SMALL|OFERTA ESPECIAL
TITLE_COINS_MEDIUM|puñado de\nmonedas
TITLE_COINS_BIG|Reserva de\nmonedas
TITLE_COINS_HUGE|Super reserva\nde monedas
TITLE_COINS_MISTERY|MYSTERY BOX\n<size=14>¿Cuántas monedas hay?</size>
TITLE_COINS_GIFT|Bienvenido\n<size=16>[%num] monedeas en regalo!</size>
COINS_SMALL|[%num]
COINS_MEDIUM|[%num]
COINS_BIG|[%num]
COINS_HUGE|[%num]
TEXT_COINS_SMALL|EN VEZ\n<size=19>3,00€</size>
TEXT_COINS_GIFT|RECOJA\nTU REGALO
TEXT_COINS_MISTERY|PRUEBA TU\nSUERTE
PRICE_COINS_SMALL|[%price]
PRICE_COINS_MEDIUM|[%price]
PRICE_COINS_BIG|[%price]
PRICE_COINS_HUGE|[%price]
PRICE_COINS_MISTERY|[%price]
PRICE_COINS_GIFT|GRATIS
MSG_SUCCESS_PURCHASE_COINS|<size=26>Felicitaciones que usted ha comprado [%num] monedas</size>
MSG_SUCCESS_TAKED_GIFT|<size=26>Felicitaciones se ha retirado su regalo de [%num] monedas!</size>
MSG_FAIL_TAKED_GIFT|<size=26>Lo sentimos no fue un error, prueba de ritirar su regalo mas tarde</size>
MSG_REMIND_GIFT|<size=26>Recuerde a retirar su regalo de bienvenida.\n¿Quieres hacerlo ahora?</size>
MSG_FAILS_PURCHASE_COINS|<size=26>Lo sentimos, no accreditacion de éxito.\nPara proceder acreditatiòn, cerrar y empezar de nuevo la aplicacion.</size>
MSG_FAILS_PURCHASE_VALIDATION|<size=26>Lo sentimos, compra no valido. Soporte de contactos</size>
CHOICE_LEVEL|ELIJA LA MESA
SINGLEPLAYER|SOLO
MULTIPLAYER|MULTIJUGADOR
LEVEL_BEGINNER|NIVEL\nPRINCIPIANTE
LEVEL_MIDDLE|NIVEL\nINTERMEDIO
LEVEL_EXPERT|NIVEL\nEXPERTO
Pop_Up_Login|<size=26>Para jugar en modo multijugador tienes que entrar en el.\n¿Quieres entrar?</size>
Beginner|Principiante
Intermediate|Intermedio
Expert|Experto
ERROR_NETWORK_MULTIPLAYER_MENU|<size=26>Error de red.\nSólo juego para un solo jugador es posible.</size>
RANDOM_OPPONENT|OPONENTE\nAL AZAR
CREATE_TABLE|CREAR\nUNA MESA
ALL_TABLES|TODAS LAS\nMESAS
OPEN_TABLES|MESAS ABIERTAS
REMOVE_TABLE|ELIMINAR\nUNA MESA
OPTIONS_TITLE_CHOOSE_CARDS|Elija los naipes
OPTIONS_SUBTITLE_CHOOSE_CARDS|<size=12>Selecciona los naipes Dal Negro favorita</size>
OPTIONS_TITLE_CHOOSE_BACK|Selecciona el fondo
OPTIONS_SUBTITLE_CHOOSE_BACK|<size=12>Elija el fondo de la mesa</size>
OPTIONS_TITLE_SOUNDS|Sonidos on/off
OPTIONS_SUBTITLE_SOUNDS|<size=12>Enciende y apaga los sonidos en el juego</size>
OPTIONS_TITLE_ROTATION|Bloqueo de rotación
OPTIONS_SUBTITLE_ROTATION|<size=12>Configurar la rotación de la pantalla</size>
OPTIONS_TITLE_SHOW_POINTS|Mostrar puntos
OPTIONS_SUBTITLE_SHOW_POINTS|Mostrar puntos durante el juego
OTHER_TABLES|OTRAS MESAS
WAIT_ACCEPT_CHALLENGE|<size=26>A la espera de </size><size=26><color=#e57900ff>[%user]</color></size><size=26> para aceptar el reto</size>
CHALLENGE_SENT|<size=28><color=#ffffffff>DESAFIO ENVIADO</color></size>
FOE_NOT_AVAILABLE|<size=26>Lo sentimos, adversario no aceptó el reto</size>
PLAY_WITH_YOU|<size=26><color=#e57900ff>[%user]</color> quiere jugar con usted, usted toma el reto?</size>
FOE_DENY|<size=26>Lo sentimos, <color=#e57900ff>[%user]</color> no aceptó el reto</size>
LEAVE_GAME_SINGLE|<size=26>Seguro que deseas abandonare?</size>
LEAVE_GAME_MULTI|<size=26><color=#e57900ff>Termina el juego</color> e incluso si pierden <color=#e57900ff>ganancias [%coins] moneda.</color>\n\nSeguro que deseas abandonare?</size>
TITLE_LEAVE_GAME_MULTI|<size=25>Si deja a \nperder su premio</size>
NAME_GAME|BRISCA
WAIT_FULL_ROOM|<size=26>Espera el oponente...</size>
FOE_DISCONNECT|<size=26>El oponente ha perdido la conexión a internet.</size>
IDLE_DISCONNECT|<size=26>Lo siento, te he estado desconectado del juego por razones de inactividad</size>
UNKOWN_DISCONNECT|<size=26>Lo siento, te he estado desconectado por problemas de conexión a internet</size>
FOE_DISCONENCT_WITH_POINTS|<size=26>Lo sentimos <color=#e57900ff>[%foe]</color> ha cerrado la sesión, todavía ha ganado [%score] puntos</size>
YOUR_TURN|Tu turno
THINKING|Estoy pensando...
CHAT|CHAT
ENABLE_CHAT|Activar chat
DISABLE_CHAT|Desactivar chat
PLACEHOLDER_CHAT|Escribir aquí...
SEND|Envía
ERROR_NETWORK_LAST_GAMES|<size=26>Lo sentimos, no hay red. No es posible mostrar los ultimos openentes</size>
TITLE_LAST_GAMES|ÚLTIMOS 20 OPONENTES
TEXT_LAST_GAMES|<size=15>AGREGAR A LA LISTA DE FAVORITOS LOS JUGADORES.\nBLOQUEA A LOS JUGADORES QUE NO QUIERES JUGAR CON OTRA VEZ.</size>
BUTTON_PREF_PLAYER_LIST|JUGADORES\nFAVORITOS
BUTTON_BLOCK_PLAYER_LIST|JUGADORES\nBLOQUEADOS
BUTTON_ADD_PREF|PONER
BUTTON_ADD_BLOCK|BLOQUEAR
TEXT_FREE_SLOT|POSICIONES LIBRES
TEXT_JUST_ADDED|AÑADIDO
TEXT_JUST_BLOCKED|BLOQUEADO
BLOCKS_MENU|JUGADORES BLOQUEADOS
PREFS_MENU|JUGADORES FAVORITOS
FEEDBACK_ADD_BLOCK|<size=26><color=#e57900ff>[%user]</color> se ha insertado entre los jugadores bloqueados.\nEl no podrà pedirle jugar</size>
CONFIRM_REMOVE_BLOCK|<size=26>¿Està usted seguro que quiere retirar a <color=#e57900ff>[%user]</color> de la lista de los jugadores bloqueados?</size>
BUTTON_REMOVE|ELIMINA
MSG_BANNER_BLOCK|Aumenta el número de jugadores\nque no pueden jugar contigo
TITLE_BANNER_BLOCK|Bloquear a otros jugadores
LABEL_BLOCK_MENU|ESTOS JUGADORES NO PUEDEN JUGAR CON USTED MÁS
OVERSIZE_BLOCK|<size=26>Lo sentimos, no hay posiciones disponibles en la lista de jugadores bloqueados.\n\n¿Quieres comprar mas posiciones?</size>
OVERSIZE_PREF|<size=26>Lo sentimos, no hay posiciones disponibles en la lista de jugadores favoritos.\n\n¿Quieres comprar mas posiciones?</size>
LABEL_PREF_MENU|<size=16>JUGADORES QUE PUEDE FILTRAR EN LA LISTA DE MESAS ABIERTAS</size>
TITLE_BANNER_PREF|Elegir otros jugadores
MSG_BANNER_PREF|Aumenta el número de jugadores\nen la lista de los oponentes avoritos
CONFIRM_REMOVE_PREF|<size=26>¿Està usted seguro que quiere retirar a <color=#e57900ff>[%user]</color> de la lista de los jugadores favoritos?</size>
FEEDBACK_ADD_PREF|<size=26><color=#e57900ff>[%user]</color> se ha insertado entre los jugadores favoritos.\nSi abre una mesa, lo encontrerà facilmente</size>
FILTER_TABLES|MESAS DE FILTRO
FILTER_ALL_TABLES|TODAS LAS MESAS
FILTER_PREFS_TABLES|JUGADORES FAVORITOS
TITLE_WRITE_US|ENVIAR A NOSOTROS PREGUNTAS Y SUGERENCIAS
PLACEHOLDER_MAIL_WRITE_US|TU EMAIL
PLACEHOLDER_MESSAGE_WRITE_US|MENSAJE
DATA_RECOVERY|RECUPERACIÓN DE DATOS
TITLE_DATA_RECOVERY|ENTRE EMAIL UTILIZADA PARA EL REGISTRO
BUTTON_DATA_RECOVERY|RECUPERAR DATOS
LABEL_CODEX_RECOVERY_DATA|SI USTED HA RECIBIDO EL CÓDIGO DE RECUPERACIÓN\nHAGA CLIC AQUÍ
BUTTON_CODEX_RECOVERY_DATA|INSERTAR CÓDIGO
TITLE_INSERT_CODE|INSERTAR EL CÓDIGO RECIBIDO POR MAIL Y\nSELECCIONAR UNA NUEVA CONTRASEÑA
PLACEHOLDER_CODE|CÓDIGO DE RECUPERACIÓN DE DATOS
PLACEHOLDER_PSW|NUEVA CONTRASEÑA
PLACEHOLDER_CONFIRM_NEW|CONFIRMAR NUEVA CONTRASEÑA
MAIL_ERROR_FEEDBACK|<size=26>Lo sentimos, email <color=#e57900ff>[%mail]</color> no està registrado.</size>
MAIL_SUCCESS_FEEDBACK|<size=23>Mail enviado a la dirección <color=#e57900ff>[%mail]</color>. Recuperar el código en la mail y insertarlo en la página de recuperación de datos. Compruebe que la mail no está terminada en carpeta de spam.</size>
ERROR_FB_ACCOUNT|<size=22>La account para la que ha solicitado la recuperación de la contraseña está vinculada a su account de Facebook. Para iniciar sesión, simplemente presione el botón Entra a traves de Facebook en la pantalla de inicio.</size>
ERROR_PASSWORD|<size=26>La dos contrasenas no corresponde. Comprobar y llenar de nuevo.</size>
ERROR_TOKEN|<size=26>El código no es correcto. Compruebe el código en la email y intente otra vez.</size>
SUCCESS_TOKEN|<size=26>Contrasena actualizada exitosamente.</size>
TITLE_OTHER_GAMES|<size=25>OTROS FANTÁSTICOS JUEGOS</size>
OTHER_GAMES_SCOPA|EL ÚNICO JUEGO\nDE LA SCOPA\nCON LOS NAIPES\nORIGINALES
OTHER_GAMES_ASSO|EL ÚNICO JUEGO DE\nASSO PIGLIA TUTTO\nCON LOS NAIPES\nORIGINALES
OTHER_GAMES_BRISCOLA|EL ÚNICO JUEGO\nDE LA BRISCA\nCON LOS NAIPES\nORIGINALES
DOWNLOAD_FREE|DESCARGAR LIBRE
WIN_MULTI_SHARE|¡TÚ GANAS\n[%pointsPlayer] A [%pointsFoe] CONTRA\n<color=#e57900ff>[%foe]</color>\n\nOBTIENES [%score] PUNTOS,\n[%pointsExp] PUNTOS DE EXPERIENCIA Y [%coins] MONEDAS.\n\nCOMPARTIR Y OBTENER\n[%coinsShare] MONEDA MÁS!
WIN_SINGLE_SHARE|¡TÚ GANAS [%pointsPlayer] A [%pointsFoe] CONTRA\nEL NIVEL<color=#e57900ff>[%foe]</color>.\n\nOBTIENES [%score] PUNTOS,\n[%pointsExp] PUNTOS DE EXPERIENCIA Y [%coins] MONEDAS.\n\nCOMPARTIR Y OBTENER\n[%coinsShare] MONEDA MÁS!
WIN_MULTI_UPPER|¡TÚ GANAS\n[%pointsPlayer] A [%pointsFoe] CONTRA\n[%foe]
WIN_SINGLE_UPPER|¡TÚ GANAS\n[%pointsPlayer] A [%pointsFoe]
WIN_SINGLE_PREMIUM_UPPER|¡TÚ GANAS\n[%pointsPlayer] A [%pointsFoe] CONTRA\n[%tableName]
WIN_POPUP_ENDGAME_BOTTOM_TEXT|<size=26>OBTIENES</size>\n<color=#f1d245>[%coins] MONEDAS</color>\n<size=26>[%pointsExp] PUNTOS DE EXPERIENCIA\n[%score] PUNTOS CLASIFICACION</size>
LOST_MULTI|HA PERDIDO\n[%pointsPlayer] A [%pointsFoe] CONTRA\n<color=#ffee61>[%foe]</color>\n\nUSTED GANA\n[%coins] MONEDA\nPARA HABER COMPLETADO EL PARTIDO
LOST_SINGLE|HA PERDIDO\n[%pointsPlayer] A [%pointsFoe]
LOST_SINGLE_PREMIUM|HA PERDIDO\n[%pointsPlayer] A [%pointsFoe] CONTRA\n<color=#ffee61>[%tableName]</color>.
DRAW_MULTI|USTED HA IGUALADO\n[%pointsPlayer] A [%pointsFoe] CONTRA\n<color=#ffee61>[%foe]</color>\n\nUSTED GANA\n[%coins] MONEDAS\nPARA HABER COMPLETADO EL PARTIDO
DRAW_SINGLE|USTED HA IGUALADO\n[%pointsPlayer] A [%pointsFoe]
DRAW_SINGLE_PREMIUM|USTED HA IGUALADO CONTRA\n<color=#ffee61>[%tableName]</color>\n\n[%tableName] DEVUELVE EL COSTO DE LA ENTRADA
LEVEL_UP|¡HAS ALCANZADO EL\n<size=26><color=#00c400>NIVEL [%level]</color></size>\nSIGUE JUGANDO Y\nDESCUBRE TODOS LOS\nPREMIOS QUE TE ESPERAN!
PLAY_AGAIN_MULTI|¿QUIERES JUGAR DE NUEVO CONTRA\n<color=#ffee61>[%foe]</color>?
HEADER_WIN|¡FELICIDADES!
HEADER_LOST|¡AY!
HEADER_DRAW|¡AY!
WIN_SINGLE_NO_LOGGED|¡TÚ GANAS! [%pointsPlayer] A [%pointsFoe] CONTRA\nEL NIVEL <color=#e57900ff>[%foe]</color>.
TITLE_SHARE|El juego de la BRISCA original DAL NEGRO
MSG_SHARE_MULTI|He ganado contra [%foe] por [%pointsPlayer] a [%pointsFoe]!
MSG_SHARE_SINGLE|He ganado contra el nivel [%foe] por [%pointsPlayer] a [%pointsFoe]!
CAPTION_SHARE|¡Pruebalo GRATIS!
JANUARY|ENERO
FEBRUARY|FEBRERO
MARCH|MARZO
APRIL|ABRIL
MAY|MAYO
JUNE|JUNIO
JULY|JULIO
AUGUST|AGOSTO
SEPTEMBER|SEPTIEMBRE
OCTOBER|OCTUBRE
NOVEMBER|NOVIEMBRE
DECEMBER|DICIEMBRE
SD_TITLE_AVATAR_CINEMA|ESTRELLAS DE CINE
SD_TITLE_AVATAR_HEROES|SUPERHEROES
SD_TITLE_AVATAR_FOOTBALL|CAMPEONES DE FÚTBOL
SD_MSG_AVATAR_CINEMA|ELEGIR SU PERFIL DE ESTRELLAS!
SD_MSG_AVATAR_HEROES|JUEGA COMO TU PERSONAJE FAVORITO!
SD_MSG_AVATAR_FOOTBALL|¡LLEVE LA CAMISA FAVORITA!
BEGINNER|PRINCIPIANTE
INTERMEDIATE|INTERMEDIO
EXPERT|EXPERTO
MONTH|MES
EXPERIENCE|EXPERENCIA
TITLE_OPPONENTS_VIEW|VES LA CARA\nDE TUS DESAFÍOS
MSG_OPPONENTS_VIEW|¡VES LA CARA DE\nLOS OPONENTES QUE\nTE INVITA A JUGAR!
PRICE_OPPONENTS_VIEW|[%price]
SD_TITLE_OPPONENTS_VIEW|VES SU DESAFÍO
SD_MSG_OPPONENTS_VIEW|¡VES LA CARA DE LOS OPONENTES QUE LE INVITA A JUGAR Y ELIJA A QUIENES COMENZARÁ EL JUEGO!
MONTHLY|MENSUAL
HELP_POINTS_TITLE|PUNTOS Y CLASIFICACIÓN
HELP_POINTS_SUBTITLE|PUNTOS, CLASIFICACIÓN Y NIVELES
HELP_COINS_TITLE|MONEDAS
HELP_COINS_SUBTITLE|GANAR, COMPRAR Y DESGASTAR MONEDAS
HELP_PLAYERS_TITLE|OPONENTES
HELP_PLAYERS_SUBTITLE|JUGADORES FAVORITOS Y JUGADORES BLOQUEADOS
HELP_FAQ_TITLE|FAQ
HELP_FAQ_SUBTITLE|PREGUNTAS FRECUENTES
HELP_RULES_TITLE|REGLAS DE BRISCA
HELP_RULES_SUBTITLE|APRENDE LAS REGLAS DEL JUEGO
HELP_INFO_TITLE|INFO
HELP_INFO_SUBTITLE|SOBRE EL JUEGO
RULES|REGLAS
OPPONENTS|OPONENTS
POINTS|PUNTOS
COINS|MONEDAS
TERMS_CONDITIONS|Términos de Uso
PRIVACY|Privacy policy
COMING_SOON_CHAMPIONS|<size=22>EL PRÓXIMO MES ESTÁ DISPONIBLE LA PRIMERA LISTA DE CAMPEONES</size>
LEVELS|NIVELES
POINTS_EXPERIENCE|PUNTOS DE EXPERIENCIA: [%points]
YOUR_POINTS_EXPERIENCE|SUS PUNTOS DE EXPERIENCIA
FAQ|FAQ
GAMEPLAY|JUEGO
SIGN_UP|REGISTRO
POINTS_ETC|PUNTOS, CLASIFICACIÓN, NIVELES
LINK_ACCOUNT_FACEBOOK|CONECTAR A\nFACEBOOK
UNLINK_ACCOUNT_FACEBOOK|ELIMINAR CONEXIÓN\nDE FACEBOOK
CHAMPIONS_OF|CAMPEONES DE [%month]
Search_opponent|<size=26>Búsqueda oponente...</size>
Opponent_not_found|<size=26>Oponente no encontrado.</size>
ACCOUNT_FACEBOOK_ALREADY_USE|<size=26>La cuenta de Facebook que desea vincular a su cuenta de juego ya está vinculada a otra cuenta de juego.\n\n¿Quieres recuperar tu account de juego anterior vinculada a Facebook?</size>
EXPIRED_WEEKLY|<size=26>La semana en regalo para ver el rostro de su desafío es terminado.\n¿Quieres continuar a verlo?</size>
TITLE_POP_UP_RESET_LEADERBOARDS|<size=17>LAS CLASIFICACIONES SON REDUCIDAS A CERO.\nNUEVO RETO DEL MES EN MARCHA!</size>
MESSAGE_TABLE_ALREADY_SELECTED|<size=26>Ya tiene estos fondo</size>
DOWNLOAD_COMPLETED|<size=26>Download completa</size>
SENT_EMAIL|<size=26>Email inviada</size>
ERROR_SENT_EMAIL|<size=26>Error envío  email</size>
ERROR_NETWORK_LEADERBOARDS|<size=26>Lo sentimos, no hay red. No es posible mostrar las clasificaciones</size>
USER_BANNED|<size=26>Esta account se ha desactivado</size>
MSG_RESTORE_PURCHSE|<size=26>Compras restaurados con exito</size>
INVITE_FRIENDS|<size=14>INVITAR AMIGOS</size>
COMING_SOON_COINS|¡PRÓXIMAMENTE!
TITLE_INVITE_FRIENDS|Brisca Dal Negro
MESSAGE_INVITE_FRIENDS|¡Prueba la Brisca original!
THE_END|FINAL
CONTINUE|<size=14>CONTINUAR</size>
MESAGE_POP_UP_INFO_TABLE_PREMIUM|<size=20>ELIMINA TODA LA PUBLICIDAD CON\nSÓLO [%price] MONEDAS PARA CUALQUIER PARTIDO.\n\nPARA ACTIVAR ENCENDER EL INTERRUPTOR.</size>
TEXT_TABLE_PREMIUM|ELIMINA LA\n<size=16><color=FFFFFF>PUBLICIDAD</color></size>
MSG_POP_UP_NO_COINS_TABLE_PREMIUM|<size=20>LOS SENTIMOS, USTED NO TIENE\nMONEDAS SUFICIENTES PARA ELIMINAR LA PUBLICIDAD.\n\nCOMPRA MONEDAS O CONTINÚA JUGANDO CON LA PUBLICIDAD.\n\n¿QUIERES COMPRAR MONEDAS?</size>
MSG_POP_UP_NO_VALIDATE_TABLE_PREMIUM|<size=20>LOS SENTIMOS, USTED NO TIENE\nMONEDAS SUFICIENTES PARA ELIMINAR LA PUBLICIDAD.\n\nCONTINÚA JUGANDO CON LA PUBLICIDAD.</size>
ConnectionMultiplayer|Conexión multijugador...
LOGIN_REWARD_COMPLETE|<size=26>¡Gracias por registrarte!\n\nHas recibido [%coins] monedas de regalo.</size>
LATER|Después
PLACEHOLDER_RATE_US|Háganos saber su opinión
NO_CONNECTION_PROFILE|<size=26>Error de conexión.\nEs posible que los datos de su perfil de usuario no estén actualizados.</size>
MESSAGE_CONFIRM_RATE_US_ANDROID|Gracias!\nVas a Play Store\ny confirmas tu voto.
MESSAGE_CONFIRM_RATE_US_IOS|Gracias!\nVas a App Store\ny confirmas tu voto.
RATE|VOTA
MESSAGE_NO_CHAT|PARA HABILITAR EL CHAT ES NECESARIO COMPLETAR [%tot] JUEGOS.\nEN EL MOMENTO QUE HAYAS COMPLETADO [%game]
MESSAGE_NO_CHAT_1|<size=20>PARA HABILITAR EL CHAT ES NECESARIO COMPLETAR AL MENOS [%tot]% DE LOS ARRANQUES INICIADOS EN MULTIJUGADOR.\n\nEN EL MOMENTO, SU PORCENTAJE DE PARTIDOS COMPLETOS ES [%game]%</size>
MESSAGE_BAN_DEVICE|<size=26>Como resultado de violaciones anteriores de las reglas del juego, es imposible crear un account.</size>
AUTOPROMO_SCOPA_TITLE|JUEGA CON\n<color=#007a34>LA SCOPA</color>\nORIGINAL
AUTOPROMO_SCOPA_SUBTITLE|DESCARGA GRATIS\nLA SCOPA ORIGINAL
AUTOPROMO_REMOVE_ADS_TITLE|¡JUEGA SIN\nPUBLICIDAD!
