[1] = {12, 4}, 
[452] = {4, 17}, 
[453] = {4, 2}, 
[454] = {4, 2}, 
[455] = {12, 0}, 
[456] = {11, 0}, 
[457] = {11, 0}, 
[458] = {11, 3}, 
[459] = {12, 15}, 
[460] = {12, 15}, 
[461] = {17, 15}, 
[462] = {13, 9}, 
[463] = {1, 0}, 
[464] = {5, 6}, 
[465] = {12, 0}, 
[466] = {13, 0}, 
[467] = {10, 0}, 
[468] = {18, 3}, 
[469] = {7, 3}, 
[470] = {12, 0}, 
[471] = {15, 0}, 
[472] = {5, 3}, 
[473] = {15, 5}, 
[474] = {1, 0}, 
[475] = {14, 2}, 
[476] = {6, 9}, 
[477] = {8, 0}, 
[478] = {15, 8}, 
[479] = {13, 8}, 
[480] = {14, 0}, 
[481] = {14, 0}, 
[482] = {14, 0}, 
[483] = {9, 16}, 
[484] = {11, 16}, 
[485] = {10, 9}, 
[486] = {1, 0}, 
[487] = {8, 16}, 
[488] = {14, 0}, 
[489] = {11, 0}, 
[490] = {11, 0}, 
[491] = {17, 0}, 
[492] = {12, 0}, 
[493] = {1, 0}, 
[494] = {14, 10}, 
[495] = {12, 0}, 
[496] = {12, 0}, 
[497] = {12, 0}, 
[498] = {10, 0}, 
[499] = {10, 2}, 
[500] = {10, 2}, 
[501] = {11, 0}, 
[502] = {11, 0}, 
[503] = {11, 0}, 
[504] = {1, 0}, 
[505] = {1, 0}, 
[506] = {1, 0}, 
[507] = {1, 0}, 
[508] = {1, 0}, 
[509] = {17, 0}, 
[510] = {17, 0}, 
[511] = {12, 0}, 
[512] = {12, 0}, 
[513] = {10, 0}, 
[514] = {10, 0}, 
[515] = {11, 0}, 
[516] = {11, 0}, 
[517] = {14, 0}, 
[518] = {14, 0}, 
[519] = {1, 3}, 
[520] = {1, 3}, 
[521] = {1, 3}, 
[522] = {13, 0}, 
[523] = {13, 0}, 
[524] = {6, 0}, 
[525] = {6, 0}, 
[526] = {6, 0}, 
[527] = {14, 3}, 
[528] = {14, 3}, 
[529] = {5, 0}, 
[530] = {5, 9}, 
[531] = {1, 0}, 
[532] = {2, 0}, 
[533] = {2, 0}, 
[534] = {2, 0}, 
[535] = {11, 0}, 
[536] = {11, 5}, 
[537] = {11, 5}, 
[538] = {2, 0}, 
[539] = {2, 0}, 
[540] = {7, 12}, 
[541] = {7, 12}, 
[542] = {7, 12}, 
[543] = {7, 4}, 
[544] = {7, 4}, 
[545] = {7, 4}, 
[546] = {12, 18}, 
[547] = {12, 18}, 
[548] = {12, 0}, 
[549] = {12, 0}, 
[550] = {11, 0}, 
[551] = {5, 17}, 
[552] = {5, 17}, 
[553] = {5, 17}, 
[554] = {10, 0}, 
[555] = {10, 0}, 
[556] = {12, 0}, 
[557] = {7, 6}, 
[558] = {7, 6}, 
[559] = {17, 2}, 
[560] = {17, 2}, 
[561] = {14, 3}, 
[562] = {8, 0}, 
[563] = {8, 0}, 
[564] = {11, 6}, 
[565] = {11, 6}, 
[566] = {6, 3}, 
[567] = {6, 3}, 
[568] = {4, 0}, 
[569] = {4, 0}, 
[570] = {17, 0}, 
[571] = {17, 0}, 
[572] = {1, 0}, 
[573] = {1, 0}, 
[574] = {14, 0}, 
[575] = {14, 0}, 
[576] = {14, 0}, 
[577] = {14, 0}, 
[578] = {14, 0}, 
[579] = {14, 0}, 
[580] = {11, 3}, 
[581] = {11, 3}, 
[582] = {15, 0}, 
[583] = {15, 0}, 
[584] = {15, 0}, 
[585] = {1, 12}, 
[586] = {1, 12}, 
[587] = {13, 3}, 
[588] = {7, 0}, 
[589] = {7, 9}, 
[590] = {12, 4}, 
[591] = {12, 4}, 
[592] = {11, 8}, 
[593] = {11, 8}, 
[594] = {11, 0}, 
[595] = {7, 13}, 
[596] = {7, 13}, 
[597] = {12, 9}, 
[598] = {12, 9}, 
[599] = {9, 0}, 
[600] = {9, 0}, 
[601] = {9, 0}, 
[602] = {13, 0}, 
[603] = {13, 0}, 
[604] = {13, 0}, 
[605] = {14, 0}, 
[606] = {14, 0}, 
[607] = {8, 10}, 
[608] = {8, 10}, 
[609] = {8, 10}, 
[610] = {16, 0}, 
[611] = {16, 0}, 
[612] = {16, 0}, 
[613] = {15, 0}, 
[614] = {15, 0}, 
[615] = {15, 0}, 
[616] = {7, 0}, 
[617] = {7, 0}, 
[618] = {5, 13}, 
[619] = {2, 0}, 
[620] = {2, 0}, 
[621] = {16, 0}, 
[622] = {5, 8}, 
[623] = {5, 8}, 
[624] = {17, 9}, 
[625] = {17, 9}, 
[626] = {1, 0}, 
[627] = {1, 3}, 
[628] = {1, 3}, 
[629] = {17, 3}, 
[630] = {17, 3}, 
[631] = {10, 0}, 
[632] = {7, 9}, 
[633] = {17, 16}, 
[634] = {17, 16}, 
[635] = {17, 16}, 
[636] = {7, 10}, 
[637] = {7, 10}, 
[638] = {9, 2}, 
[639] = {6, 2}, 
[640] = {12, 2}, 
[641] = {3, 0}, 
[642] = {13, 3}, 
[643] = {16, 10}, 
[644] = {16, 13}, 
[645] = {5, 3}, 
[646] = {16, 15}, 
[647] = {11, 2}, 
[648] = {1, 14}, 
[649] = {7, 9}, 
[650] = {12, 0}, 
[651] = {12, 0}, 
[652] = {12, 2}, 
[653] = {10, 0}, 
[654] = {10, 0}, 
[655] = {10, 14}, 
[656] = {11, 0}, 
[657] = {11, 0}, 
[658] = {11, 17}, 
[659] = {1, 0}, 
[660] = {1, 5}, 
[661] = {1, 3}, 
[662] = {10, 3}, 
[663] = {10, 3}, 
[664] = {7, 0}, 
[665] = {7, 0}, 
[666] = {7, 3}, 
[667] = {10, 1}, 
[668] = {10, 1}, 
[669] = {18, 0}, 
[670] = {18, 0}, 
[671] = {18, 0}, 
[672] = {12, 0}, 
[673] = {12, 0}, 
[674] = {2, 0}, 
[675] = {2, 17}, 
[676] = {1, 0}, 
[677] = {14, 0}, 
[678] = {14, 0}, 
[679] = {9, 8}, 
[680] = {9, 8}, 
[681] = {9, 8}, 
[682] = {18, 0}, 
[683] = {18, 0}, 
[684] = {18, 0}, 
[685] = {18, 0}, 
[686] = {17, 14}, 
[687] = {17, 14}, 
[688] = {6, 11}, 
[689] = {6, 11}, 
[690] = {4, 11}, 
[691] = {4, 16}, 
[692] = {11, 0}, 
[693] = {11, 0}, 
[694] = {13, 1}, 
[695] = {13, 1}, 
[696] = {6, 16}, 
[697] = {6, 16}, 
[698] = {6, 15}, 
[699] = {6, 15}, 
[700] = {18, 0}, 
[701] = {2, 3}, 
[702] = {13, 18}, 
[703] = {6, 18}, 
[704] = {16, 0}, 
[705] = {16, 0}, 
[706] = {16, 0}, 
[707] = {9, 18}, 
[708] = {8, 12}, 
[709] = {8, 12}, 
[710] = {8, 12}, 
[711] = {8, 12}, 
[712] = {15, 0}, 
[713] = {15, 0}, 
[714] = {3, 16}, 
[715] = {3, 16}, 
[716] = {18, 0}, 
[717] = {17, 3}, 
[718] = {16, 5}, 
[719] = {6, 18}, 
[720] = {14, 8}, 
[721] = {10, 11}, 
[722] = {12, 3}, 
[723] = {12, 3}, 
[724] = {12, 8}, 
[725] = {10, 0}, 
[726] = {10, 0}, 
[727] = {10, 17}, 
[728] = {11, 0}, 
[729] = {11, 0}, 
[730] = {11, 18}, 
[731] = {1, 3}, 
[732] = {1, 3}, 
[733] = {1, 3}, 
[734] = {1, 0}, 
[735] = {1, 0}, 
[736] = {7, 0}, 
[737] = {7, 13}, 
[738] = {7, 13}, 
[739] = {2, 0}, 
[740] = {2, 15}, 
[741] = {10, 3}, 
[742] = {7, 18}, 
[743] = {7, 18}, 
[744] = {6, 0}, 
[745] = {6, 0}, 
[746] = {11, 0}, 
[747] = {4, 11}, 
[748] = {4, 11}, 
[749] = {5, 0}, 
[750] = {5, 0}, 
[751] = {11, 7}, 
[752] = {11, 7}, 
[753] = {12, 0}, 
[754] = {12, 0}, 
[755] = {12, 18}, 
[756] = {12, 18}, 
[757] = {4, 10}, 
[758] = {4, 10}, 
[759] = {1, 2}, 
[760] = {1, 2}, 
[761] = {12, 0}, 
[762] = {12, 0}, 
[763] = {12, 0}, 
[764] = {18, 0}, 
[765] = {1, 14}, 
[766] = {2, 0}, 
[767] = {7, 11}, 
[768] = {7, 11}, 
[769] = {8, 5}, 
[770] = {8, 5}, 
[771] = {11, 0}, 
[772] = {1, 0}, 
[773] = {1, 0}, 
[774] = {6, 3}, 
[775] = {1, 0}, 
[776] = {10, 16}, 
[777] = {13, 9}, 
[778] = {8, 18}, 
[779] = {11, 14}, 
[780] = {1, 16}, 
[781] = {8, 12}, 
[782] = {16, 0}, 
[783] = {16, 2}, 
[784] = {16, 2}, 
[785] = {13, 18}, 
[786] = {14, 18}, 
[787] = {12, 18}, 
[788] = {11, 18}, 
[789] = {14, 0}, 
[790] = {14, 0}, 
[791] = {14, 9}, 
[792] = {14, 8}, 
[793] = {6, 4}, 
[794] = {7, 2}, 
[795] = {7, 2}, 
[796] = {13, 0}, 
[797] = {9, 3}, 
[798] = {12, 9}, 
[799] = {17, 16}, 
[800] = {14, 0}, 
[801] = {9, 18}, 
[802] = {2, 8}, 
[803] = {4, 0}, 
[804] = {4, 16}, 
[805] = {6, 9}, 
[806] = {10, 8}, 
[807] = {13, 0}, 
[808] = {9, 0}, 
[809] = {9, 0}, 
[810] = {12, 0}, 
[811] = {12, 0}, 
[812] = {12, 0}, 
[813] = {10, 0}, 
[814] = {10, 0}, 
[815] = {10, 0}, 
[816] = {11, 0}, 
[817] = {11, 0}, 
[818] = {11, 0}, 
[819] = {1, 0}, 
[820] = {1, 0}, 
[821] = {3, 0}, 
[822] = {3, 0}, 
[823] = {3, 9}, 
[824] = {7, 0}, 
[825] = {7, 14}, 
[826] = {7, 14}, 
[827] = {17, 0}, 
[828] = {17, 0}, 
[829] = {12, 0}, 
[830] = {12, 0}, 
[831] = {1, 0}, 
[832] = {1, 0}, 
[833] = {11, 0}, 
[834] = {11, 6}, 
[835] = {13, 0}, 
[836] = {13, 0}, 
[837] = {6, 0}, 
[838] = {6, 10}, 
[839] = {6, 10}, 
[840] = {12, 16}, 
[841] = {12, 16}, 
[842] = {12, 16}, 
[843] = {5, 0}, 
[844] = {5, 0}, 
[845] = {3, 11}, 
[846] = {11, 0}, 
[847] = {11, 0}, 
[848] = {13, 4}, 
[849] = {13, 4}, 
[850] = {10, 7}, 
[851] = {10, 7}, 
[852] = {2, 0}, 
[853] = {2, 0}, 
[854] = {8, 0}, 
[855] = {8, 0}, 
[856] = {14, 0}, 
[857] = {14, 0}, 
[858] = {14, 18}, 
[859] = {17, 18}, 
[860] = {17, 18}, 
[861] = {17, 18}, 
[862] = {17, 1}, 
[863] = {9, 0}, 
[864] = {8, 0}, 
[865] = {2, 0}, 
[866] = {15, 14}, 
[867] = {5, 8}, 
[868] = {18, 0}, 
[869] = {18, 0}, 
[870] = {2, 0}, 
[871] = {13, 0}, 
[872] = {15, 7}, 
[873] = {15, 7}, 
[874] = {6, 0}, 
[875] = {15, 0}, 
[876] = {14, 1}, 
[877] = {13, 17}, 
[878] = {9, 0}, 
[879] = {9, 0}, 
[880] = {13, 16}, 
[881] = {13, 15}, 
[882] = {11, 16}, 
[883] = {11, 15}, 
[884] = {9, 16}, 
[885] = {16, 8}, 
[886] = {16, 8}, 
[887] = {16, 8}, 
[888] = {18, 0}, 
[889] = {2, 0}, 
[890] = {4, 16}, 
[891] = {2, 0}, 
[892] = {2, 17}, 
[893] = {17, 12}, 
[894] = {13, 0}, 
[895] = {16, 0}, 
[896] = {15, 0}, 
[897] = {8, 0}, 
[898] = {14, 12}, 
[899] = {1, 14}, 
[900] = {7, 6}, 
[901] = {5, 1}, 
[902] = {11, 8}, 
[903] = {2, 4}, 
[904] = {17, 4}, 
[905] = {18, 3}, 
